id,domain,question,choices,correct_answer,answer_type,difficulty,source
56,history,織田信長が本能寺の変で討たれたのは西暦何年ですか?,,1582,numeric,medium,自作
57,history,日清戦争が起きたのは西暦何年ですか?,,1894,numeric,medium,自作
58,history,遣隋使を派遣した人物は誰ですか?,,聖徳太子,text,medium,自作
59,history,関ヶ原の戦いが起きたのは西暦何年ですか?,,1600,numeric,medium,自作
60,history,太平洋戦争が終わったのは西暦何年ですか?,,1945,numeric,easy,自作
61,history,元号「令和」が始まったのは西暦何年ですか?,,2019,numeric,easy,自作
62,history,大化の改新が起きたのは西暦何年ですか?,,645,numeric,medium,自作
63,history,日本初の女性天皇は誰ですか?,,推古天皇,text,medium,自作
64,history,ペリーが浦賀に来航したのは西暦何年ですか?,,1853,numeric,medium,自作
65,history,源頼朝の弟で壇ノ浦の戦いで活躍した武将は誰ですか?,,源義経,text,easy,自作
66,history,日露戦争の講和条約はどこで結ばれましたか?,,ポーツマス,text,medium,自作
67,history,応仁の乱が起きたのは西暦何年ですか?,,1467,numeric,medium,自作
68,history,廃藩置県が行われたのは西暦何年ですか?,,1871,numeric,hard,自作
69,history,日本で最初の征夷大将軍は誰ですか?,坂上田村麻呂|源頼朝|徳川家康|大伴弟麻呂,坂上田村麻呂,mc,hard,自作
70,history,サンフランシスコ平和条約が調印されたのは西暦何年ですか?,,1951,numeric,hard,自作
71,history,班田収授法の基となった制度は何ですか?,,均田制,text,hard,自作
72,history,日本がポツダム宣言を受諾したのは何月何日ですか?,,8月14日,text,medium,自作
73,history,室町幕府の初代将軍は誰ですか?,,足利尊氏,text,easy,自作
74,history,墾田永年私財法が制定されたのは西暦何年ですか?,,743,numeric,hard,自作
75,history,五箇条の御誓文が発布されたのは何年ですか?,,1868,numeric,medium,自作
76,translation,次の文を英語に訳してください:「私は明日図書館に行きます」,,I will go to the library tomorrow.,text,easy,自作
77,translation,次の文を英語に訳してください:「彼女は毎朝コーヒーを飲みます」,,She drinks coffee every morning.,text,easy,自作
78,translation,次の英文を日本語に訳してください: The weather is nice today.,,今日は天気が良いです。,text,easy,自作
79,translation,次の英文を日本語に訳してください: I have two brothers and one sister.,,私には兄弟が2人と姉妹が1人います。,text,easy,自作
80,translation,次の文を英語に訳してください:「この本はとても面白い」,,This book is very interesting.,text,easy,自作
81,translation,次の英文を日本語に訳してください: He lives in Tokyo.,,彼は東京に住んでいます。,text,easy,自作
82,translation,次の文を英語に訳してください:「私は学生です」,,I am a student.,text,easy,自作
83,translation,次の英文を日本語に訳してください: She can speak three languages.,,彼女は3つの言語を話せます。,text,easy,自作
84,translation,次の文を英語に訳してください:「今何時ですか?」,,What time is it now?,text,easy,自作
85,translation,次の英文を日本語に訳してください: The train arrives at 10 o'clock.,,電車は10時に到着します。,text,easy,自作
86,translation,次の文を英語に訳してください:「彼はその問題を解くのに3時間かかった」,,It took him three hours to solve the problem.,text,medium,自作
87,translation,次の英文を日本語に訳してください: Despite the heavy rain the game was not canceled.,,大雨にもかかわらず試合は中止されなかった。,text,medium,自作
88,translation,次の文を英語に訳してください:「私が子供の頃、この辺りは田んぼだらけだった」,,When I was a child this area was full of rice paddies.,text,medium,自作
89,translation,次の英文を日本語に訳してください: The more you practice the better you get.,,練習すればするほど上達する。,text,medium,自作
90,translation,次の文を英語に訳してください:「もし明日雨が降ったら、遠足は延期されます」,,If it rains tomorrow the field trip will be postponed.,text,medium,自作
91,translation,次の英文を日本語に訳してください: Not until I read the book did I understand the importance of the issue.,,その本を読んで初めてその問題の重要性を理解した。,text,hard,自作
92,translation,次の文を英語に訳してください:「彼女が来るかどうかはまだ分からない」,,It is still unknown whether she will come or not.,text,medium,自作
93,translation,次の英文を日本語に訳してください: Had it not been for your help I would have failed the exam.,,あなたの助けがなければ試験に落ちていただろう。,text,hard,自作
94,translation,次の文を英語に訳してください:「その映画は期待していたほど面白くなかった」,,The movie was not as interesting as I had expected.,text,medium,自作
95,translation,次の英文を日本語に訳してください: The committee has yet to reach a consensus on the matter.,,委員会はその件についてまだ合意に達していない。,text,hard,自作
96,translation,次の文を英語に訳してください:「この地域では毎年多くの祭りが行われている」,,Many festivals are held in this area every year.,text,medium,自作
97,translation,次の英文を日本語に訳してください: It goes without saying that health is more important than wealth.,,健康が富よりも大切なのは言うまでもない。,text,medium,自作
98,translation,次の文を英語に訳してください:「あの時もっと勉強しておけばよかったと後悔している」,,I regret not having studied harder at that time.,text,hard,自作
99,translation,次の英文を日本語に訳してください: No sooner had the bell rung than the students rushed out of the classroom.,,ベルが鳴るや否や生徒たちは教室から飛び出した。,text,hard,自作
100,translation,次の文を英語に訳してください:「科学技術の発展は私たちの生活を大きく変えた」,,The development of science and technology has greatly changed our lives.,text,medium,自作
